"Produto","Proteina","Carboidratos","Gramas","Fibras","Calorias","Cluster"
"Cream cheese",0.008620689655172414,0.00423728813559322,0.027052222666630026,0,0.10584677419354839,"cluster_0"
"Processed cheese",0.030172413793103446,0.0635593220338983,0.027052222666630026,0,0.10584677419354839,"cluster_0"
"Roquefort type",0.02586206896551724,0.0635593220338983,0.027052222666630026,0,0.10584677419354839,"cluster_0"
"Swiss",0.030172413793103446,0.0635593220338983,0.027052222666630026,0,0.10584677419354839,"cluster_0"
"Eggs raw",0.05172413793103448,0.0635593220338983,0.10032862430680015,0,0.15120967741935484,"cluster_0"
"Eggs Scrambled or fried",0.05603448275862069,0.00423728813559322,0.12882500272242187,0,0.2217741935483871,"cluster_0"
"Yolks",0.02586206896551724,0.0635593220338983,0.03315858946997754,0,0.12096774193548387,"cluster_0"
"Butter",0.017241379310344827,0.0635593220338983,0.012804033458819171,0,0.10080645161290322,"cluster_0"
"Butter",0.49137931034482757,0.5,0.11254135791349516,0.4978723404255319,0.11391129032258064,"cluster_2"
"Butter",0.49137931034482757,0.5,0.11254135791349516,0.4978723404255319,0.11391129032258064,"cluster_2"
"Hydrogenated cooking fat",0,0,0.10032862430680015,0,0.6703629032258064,"cluster_1"
"Lard",0,0,0.11050590231237932,0,1,"cluster_1"
"Margarine",0.017241379310344827,0.0635593220338983,0.11254135791349516,0,0.8125,"cluster_1"
"Margarine, 2 pat or",0.017241379310344827,0.0635593220338983,0.012804033458819171,0,0.10080645161290322,"cluster_0"
"Mayonnaise",0.017241379310344827,0.0635593220338983,0.01382176125937709,0,0.11088709677419355,"cluster_0"
"Corn oil",0,0,0.012804033458819171,0,0.12600806451612903,"cluster_0"
"Olive oil",0,0,0.012804033458819171,0,0.12600806451612903,"cluster_0"
"Safflower seed oil",0,0,0.012804033458819171,0,0.12600806451612903,"cluster_0"
"French dressing",0.017241379310344827,0.00847457627118644,0.01382176125937709,0,0.06048387096774194,"cluster_0"
"Thousand Island sauce",0.017241379310344827,0.00423728813559322,0.01382176125937709,0,0.07560483870967742,"cluster_0"
"Salt pork",0.01293103448275862,0,0.059619512284483415,0,0.47379032258064513,"cluster_1"
"Bacon",0.017241379310344827,0.00423728813559322,0.014839489059935007,0,0.09576612903225806,"cluster_0"
"Beef",0.09913793103448276,0,0.08506270729843136,0,0.2469758064516129,"cluster_1"
"Hamburger",0.09051724137931035,0,0.08506270729843136,0,0.2469758064516129,"cluster_1"
"Ground lean",0.10344827586206896,0,0.08506270729843136,0,0.18649193548387097,"cluster_0"
"Roast beef",0.06896551724137931,0,0.08506270729843136,0,0.39314516129032256,"cluster_1"
"Steak",0.08620689655172414,0,0.08506270729843136,0,0.3326612903225806,"cluster_1"
"Steak, lean, as round",0.10344827586206896,0,0.08506270729843136,0,0.2217741935483871,"cluster_0"
"Corned beef",0.09482758620689655,0,0.08506270729843136,0,0.18649193548387097,"cluster_0"
"Corned beef hash canned",0.05172413793103448,0.025423728813559324,0.08506270729843136,0.0017021276595744683,0.12096774193548387,"cluster_0"
"Corned beef hash Dried",0.08189655172413793,0,0.05554860108225174,0,0.1159274193548387,"cluster_0"
"Pot-pie",0.07758620689655173,0.13559322033898305,0.22958005497765577,0.0017021276595744683,0.4838709677419355,"cluster_1"
"Corned beef hash Stew",0.06465517241379311,0.0635593220338983,0.2377218773821191,0.0017021276595744683,0.18649193548387097,"cluster_1"
"chicken",0.09913793103448276,0,0.08506270729843136,0,0.18649193548387097,"cluster_0"
"Fried, breast or leg and thigh chicken",0.10775862068965517,0,0.08506270729843136,0,0.2469758064516129,"cluster_1"
"Roasted chicken",0.10775862068965517,0,0.10032862430680015,0,0.2923387096774194,"cluster_1"
"Chicken livers, fried",0.09482758620689655,0.009745762711864406,0.10032862430680015,0,0.1411290322580645,"cluster_0"
"Duck, domestic",0.06896551724137931,0,0.10032862430680015,0,0.37298387096774194,"cluster_1"
"Lamb, chop, broiled",0.10344827586206896,0,0.11559454131516891,0,0.4838709677419355,"cluster_1"
"Leg roasted",0.08620689655172414,0,0.08608043509898929,0,0.3165322580645161,"cluster_1"
"Shoulder, braised",0.07758620689655173,0,0.08506270729843136,0,0.2872983870967742,"cluster_1"
"Pork, chop, 1 thick",0.06896551724137931,0,0.10032862430680015,0,0.2620967741935484,"cluster_1"
"Ham pan-broiled",0.06896551724137931,0,0.08506270729843136,0,0.2923387096774194,"cluster_1"
"Ham, as ",0.05603448275862069,0,0.05656632888280966,0,0.17137096774193547,"cluster_0"
"Ham, canned, spiced",0.034482758620689655,0.00423728813559322,0.05656632888280966,0,0.1663306451612903,"cluster_0"
"Pork roast",0.09051724137931035,0,0.08506270729843136,0,0.3125,"cluster_1"
"Pork sausage",0.07758620689655173,0,0.10032862430680015,0,0.4788306451612903,"cluster_1"
"Turkey",0.11637931034482758,0,0.10032862430680015,0,0.26713709677419356,"cluster_1"
"Veal",0.09913793103448276,0,0.08506270729843136,0,0.18649193548387097,"cluster_0"
"Roast",0.05603448275862069,0,0.08506270729843136,0,0.3074596774193548,"cluster_1"
"Clams",0.05172413793103448,0.00847457627118644,0.08506270729843136,0,0.0877016129032258,"cluster_0"
"Cod",0.12068965517241378,0,0.10032862430680015,0,0.17137096774193547,"cluster_0"
"Crab meat",0.06034482758620689,0.00423728813559322,0.08506270729843136,0,0.0907258064516129,"cluster_0"
"Fish sticks fried",0.08189655172413793,0.03389830508474576,0.11254135791349516,0,0.20161290322580644,"cluster_0"
"Flounder",0.12931034482758622,0,0.10032862430680015,0,0.20161290322580644,"cluster_0"
"Haddock",0.06896551724137931,0.025423728813559324,0.08506270729843136,0,0.13608870967741934,"cluster_0"
"Halibut",0.11206896551724138,0,0.10032862430680015,0,0.18346774193548387,"cluster_0"
"Herring",0.09482758620689655,0,0.10032862430680015,0,0.2127016129032258,"cluster_0"
"Lobster",0.07758620689655173,0.0635593220338983,0.10032862430680015,0,0.09274193548387097,"cluster_0"
"Mackerel",0.07758620689655173,0,0.08506270729843136,0.0017021276595744683,0.15625,"cluster_0"
"Oysters",1,1,0.23263323837932953,1,0.23286290322580644,"cluster_2"
"Oyster stew",0.08189655172413793,0,0.08506270729843136,0,0.12600806451612903,"cluster_0"
"Salmon",0.07327586206896551,0,0.08506270729843136,0,0.12096774193548387,"cluster_0"
"Sardines",0.09482758620689655,0,0.08506270729843136,0,0.1814516129032258,"cluster_0"
"Scallops",0.07758620689655173,0.0423728813559322,0.10032862430680015,0,0.10483870967741934,"cluster_0"
"Shad",0.08620689655172414,0,0.08506270729843136,0,0.17137096774193547,"cluster_0"
"Shrimp",0.09913793103448276,0,0.08506270729843136,0,0.11088709677419355,"cluster_0"
"Swordfish",0.11637931034482758,0,0.10032862430680015,0,0.1814516129032258,"cluster_0"
"Tuna",0.10775862068965517,0,0.08506270729843136,0,0.17137096774193547,"cluster_0"
"Asparagus",0.004310344827586207,0.012711864406779662,0.09625771310456847,0.002127659574468085,0.01814516129032258,"cluster_0"
"Beans",0.004310344827586207,0.025423728813559324,0.1257718193207481,0.0034042553191489366,0.025201612903225805,"cluster_0"
"Lima",0.034482758620689655,0.1016949152542373,0.16139229234027525,0.012765957446808512,0.1411290322580645,"cluster_0"
"Lima, dry, cooked",0.06896551724137931,0.2033898305084746,0.19395958195812865,0.00851063829787234,0.2620967741935484,"cluster_1"
"Navy, baked with pork",0.04741379310344827,0.15677966101694915,0.202101404362592,0.00851063829787234,0.25201612903225806,"cluster_1"
"Red kidney",0.06465517241379311,0.17796610169491525,0.26316507239606707,0.010638297872340425,0.2318548387096774,"cluster_1"
"Bean sprouts",0.004310344827586207,0.012711864406779662,0.049442234278904235,0.001276595744680851,0.017137096774193547,"cluster_0"
"Beet greens",0.008620689655172414,0.025423728813559324,0.10032862430680015,0.005957446808510638,0.02721774193548387,"cluster_0"
"Beetroots",0.05172413793103448,0.0033898305084745766,0.16648093134306485,0.0017021276595744683,0.0010080645161290322,"cluster_0"
"Broccoli",0.021551724137931036,0.03389830508474576,0.15121501433469606,0.008085106382978723,0.04536290322580645,"cluster_0"
"Brussels sprouts",0.02586206896551724,0.05084745762711865,0.1308604583235377,0.00723404255319149,0.06048387096774194,"cluster_0"
"Sauerkraut",0.004310344827586207,0.029661016949152543,0.15121501433469606,0.005106382978723404,0.03225806451612903,"cluster_0"
"Steamed cabbage",0.008620689655172414,0.038135593220338986,0.17156957034585443,0.005531914893617021,0.04032258064516129,"cluster_0"
"Carrots",0.004310344827586207,0.0423728813559322,0.15121501433469606,0.0038297872340425534,0.04536290322580645,"cluster_0"
"Raw, grated",0.004310344827586207,0.0423728813559322,0.11050590231237932,0.005106382978723404,0.04536290322580645,"cluster_0"
